Dni_od_zakupu,Marka,Ocena
8,Dyson,2.0
6,Tefal,2.5
5,Dyson,0.0
6,Tefal,1.5
6,Beko,2.0
8,Beko,4.0
6,Beko,3.0
4,Beko,2.5
12,Beko,3.0
2,Beko,3.5
10,Beko,1.0
6,Electrolux,1.0
8,Beko,2.5
5,Beko,0.5
6,Beko,2.5
4,Beko,2.0
6,Beko,1.5
7,Beko,2.0
8,Beko,1.5
8,Beko,3.5
3,Beko,3.5
6,Beko,2.0
7,Electrolux,2.5
10,Electrolux,1.5
8,Beko,1.5
6,Beko,3.5
10,Tefal,1.0
8,Beko,2.5
7,Beko,4.5
6,Beko,1.0
6,Beko,1.5
10,Beko,2.5
7,Beko,2.5
8,Beko,2.5
9,Electrolux,4.0
6,Electrolux,1.5
5,Samsung,1.5
4,Tefal,2.0
3,Tefal,4.0
6,Beko,3.0
10,Beko,3.0
5,Dyson,2.5
6,Beko,3.5
14,Dyson,3.0
12,Beko,2.0
7,Beko,2.5
9,Beko,3.0
7,Electrolux,3.5
6,Beko,5.0
7,Beko,3.0
11,Beko,2.5
2,Beko,1.5
2,Beko,0.5
4,Beko,1.5
3,Electrolux,3.0
8,Electrolux,2.5
6,Beko,1.5
7,Beko,2.0
7,Beko,2.0
3,Beko,2.5
5,Electrolux,2.5
6,Electrolux,2.0
8,Electrolux,1.0
4,Beko,3.5
5,Beko,2.0
12,Beko,2.0
5,Beko,1.5
7,Beko,1.5
9,Dyson,1.5
4,Beko,2.0
5,Electrolux,3.0
10,Beko,5.0
8,Beko,4.0
8,Dyson,2.0
6,Electrolux,3.5
3,Samsung,1.5
7,Beko,0.5
4,Beko,5.0
6,Beko,1.5
3,Beko,2.5
5,Beko,2.0
9,Beko,2.0
8,Beko,3.5
3,Tefal,2.5
11,Beko,1.5
8,Tefal,3.0
2,Beko,1.5
6,Samsung,1.5
5,Beko,3.5
13,Beko,2.0
7,Dyson,4.0
9,Electrolux,2.5
5,Beko,2.0
8,Electrolux,2.5
5,Dyson,3.0
6,Dyson,2.5
6,Samsung,3.5
7,Beko,2.5
8,Beko,0.5
4,Beko,2.0
10,Tefal,1.5
11,Electrolux,1.5
6,Beko,2.0
4,Dyson,3.5
14,Beko,2.0
6,Beko,2.5
5,Beko,4.5
9,Beko,1.5
7,Dyson,1.0
8,Beko,2.0
2,Beko,1.0
10,Beko,2.0
9,Beko,2.0
6,Beko,3.0
9,Beko,2.0
6,Electrolux,1.0
8,Beko,1.5
4,Tefal,2.5
5,Beko,2.0
5,Beko,3.0
8,Dyson,2.0
6,Tefal,2.0
10,Beko,2.5
8,Beko,4.5
9,Beko,1.5
9,Beko,3.5
9,Tefal,1.5
6,Beko,3.0
4,Beko,1.5
6,Beko,4.5
6,Tefal,2.5
8,Beko,3.5
4,Beko,4.0
10,Beko,2.0
8,Dyson,2.5
5,Beko,2.0
4,Beko,5.0
4,Beko,0.5
3,Dyson,1.5
7,Electrolux,2.5
10,Beko,1.5
3,Beko,3.5
8,Beko,0.5
10,Beko,1.0
5,Beko,2.0
13,Beko,2.0
10,Beko,3.0
10,Tefal,4.0
7,Beko,3.5
5,Tefal,2.5
10,Beko,4.0
5,Dyson,0.5
4,Beko,2.0
4,Tefal,0.5
7,Samsung,4.0
4,Beko,1.0
5,Beko,2.0
13,Beko,3.0
10,Beko,2.0
11,Beko,4.0
5,Beko,1.5
12,Beko,2.5
4,Beko,3.0
7,Dyson,4.5
5,Beko,3.0
8,Dyson,1.0
7,Dyson,5.0
10,Beko,3.5
4,Beko,3.5
7,Beko,3.0
7,Tefal,1.5
7,Beko,2.0
5,Beko,4.0
5,Samsung,1.5
7,Beko,1.5
12,Electrolux,1.5
4,Beko,4.5
9,Beko,2.0
7,Beko,2.0
8,Beko,2.0
6,Electrolux,2.5
7,Beko,1.5
7,Beko,4.5
5,Electrolux,2.0
6,Beko,2.5
7,Electrolux,1.5
7,Beko,1.0
7,Tefal,2.5
8,Beko,1.5
6,Beko,1.0
9,Beko,1.5
8,Beko,2.0
9,Beko,1.5
4,Beko,2.5
3,Beko,1.0
3,Beko,2.0
6,Dyson,3.5
6,Beko,4.0
6,Electrolux,3.5
9,Beko,4.0
11,Beko,3.0
7,Dyson,2.0
2,Beko,5.0
7,Beko,3.0
5,Beko,4.5
8,Beko,3.0
7,Beko,4.0
8,Beko,3.5
6,Beko,1.5
8,Electrolux,2.5
9,Beko,2.0
7,Beko,2.0
10,Beko,1.5
5,Beko,4.0
6,Beko,3.0
5,Beko,5.0
13,Beko,3.5
9,Electrolux,3.0
14,Beko,2.5
8,Beko,3.5
11,Beko,2.5
4,Beko,2.5
9,Beko,0.5
7,Beko,2.5
4,Beko,2.5
6,Beko,3.0
7,Beko,3.0
10,Beko,3.5
8,Beko,2.0
8,Beko,4.0
3,Beko,1.5
11,Beko,1.0
8,Beko,4.0
4,Beko,2.0
7,Tefal,2.5
5,Samsung,3.5
8,Beko,2.0
5,Beko,2.0
8,Electrolux,1.5
7,Beko,2.0
8,Beko,1.0
12,Dyson,1.5
4,Beko,1.5
6,Beko,5.0
2,Electrolux,2.5
5,Beko,3.5
9,Electrolux,1.5
9,Beko,2.0
11,Tefal,3.5
4,Beko,1.0
4,Beko,2.5
9,Beko,1.0
8,Beko,1.5
5,Beko,4.0
7,Beko,1.5
8,Beko,3.0
10,Beko,2.5
9,Beko,3.5
11,Beko,3.5
7,Beko,1.0
8,Dyson,2.0
9,Beko,3.0
13,Beko,1.5
10,Beko,1.5
6,Dyson,2.0
11,Beko,2.5
7,Tefal,2.5
9,Beko,2.0
5,Electrolux,3.5
4,Samsung,3.0
7,Tefal,2.0
8,Tefal,1.0
9,Beko,2.5
7,Beko,2.5
4,Beko,1.0
5,Beko,4.0
7,Tefal,2.5
12,Beko,4.0
7,Beko,2.5
4,Beko,1.0
7,Beko,3.5
10,Tefal,1.0
9,Beko,3.0
10,Beko,3.0
6,Beko,2.0
2,Beko,3.5
4,Electrolux,2.5
12,Beko,2.5
8,Beko,1.0
7,Beko,3.0
2,Beko,3.5
9,Electrolux,3.5
3,Dyson,4.0
7,Beko,3.5
6,Tefal,5.0
5,Beko,2.0
7,Beko,2.0
9,Beko,3.5
6,Beko,3.5
10,Beko,4.5
1,Electrolux,1.0
9,Dyson,3.0
5,Beko,2.5
4,Electrolux,2.0
9,Samsung,1.0
3,Beko,2.5
11,Beko,0.5
4,Tefal,2.0
6,Dyson,2.0
6,Beko,3.5
10,Beko,0.5
4,Beko,1.0
11,Beko,3.0
8,Beko,2.0
7,Beko,0.5
15,Beko,5.0
8,Beko,1.5
6,Beko,1.0
15,Beko,1.0
6,Beko,2.5
6,Beko,4.0
10,Tefal,2.0
5,Beko,2.5
8,Beko,2.5
9,Electrolux,3.0
9,Beko,2.0
5,Tefal,3.0
11,Beko,1.0
